proyecto,fecha,titulo,estado,proponente,autores
Proyecto de Ley 11408/2024-CR,Fecha de Presentación02/06/2025,"LEY DE DESARROLLO INTEGRAL JUVENIL, FOMENTO DEL ESTUDIO Y TRABAJO DIGNO EN LOS SECTORES PÚBLICO Y PRIVADO",Estado ProcesalPRESENTADO,ProponenteCongreso,"Limachi Quispe, Nieves Esmeralda, Cutipa Ccama, Víctor Raúl, Quispe Mamani, Wilson Rusbel ver más..."
Proyecto de Ley 11407/2024-CR,Fecha de Presentación02/06/2025,LEY QUE FOMENTA EL DESEMPEÑO INSTITUCIONAL A TRAVÉS DE BONIFICACIONES A LOS TRABAJADORES DE LA AUTORIDAD NACIONAL DE SANIDAD E INOCUIDAD EN PESCA Y ACUICULTURA (SANIPES),Estado ProcesalPRESENTADO,ProponenteCongreso,"Coayla Juárez, Jorge Samuel, Cutipa Ccama, Víctor Raúl, Varas Meléndez, Elías Marcial ver más..."
Proyecto de Ley 11406/2024-CR,Fecha de Presentación02/06/2025,"LEY QUE AUTORIZA AL SANIPES LA INCORPORACION AL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO N° 728, A LOS TRABAJADORES QUE SE ENCUENTRAN BAJO EL RÉGIMEN CAS CON CONTRATO A PLAZO INDETERMINADO",Estado ProcesalPRESENTADO,ProponenteCongreso,"Coayla Juárez, Jorge Samuel, Cutipa Ccama, Víctor Raúl, Varas Meléndez, Elías Marcial ver más..."
Proyecto de Ley 11405/2024-CR,Fecha de Presentación02/06/2025,"LEY QUE DEROGA LOS ARTÍCULOS 63, 64, 65, 66, 67 Y 68 DE LA LEY GENERAL DE LA PERSONA CON DISCAPACIDAD N° 29973; EXTINGUE AL CONADIS Y DISPONE LA CREACIÓN DE UN ÓRGANISMO PÚBLICO EN MATERIA DE DISCAPACIDAD CON LA PARTICIPACIÓN DE LAS OREDIS Y OMAPED",Estado ProcesalPRESENTADO,ProponenteCongreso,"Kamiche Morante, Luis Roberto, Soto Reyes, Alejandro, Heidinger Ballesteros, Nelcy Lidia ver más..."
Proyecto de Ley 11404/2024-CR,Fecha de Presentación02/06/2025,LEY QUE TRANSFORMA EL CENTRO DE ALTOS ESTUDIOS NACIONALES – EPG EN UNIVERSIDAD CAEN.,Estado ProcesalPRESENTADO,ProponenteCongreso,"Kamiche Morante, Luis Roberto, Soto Reyes, Alejandro, Heidinger Ballesteros, Nelcy Lidia ver más..."
Proyecto de Ley 11403/2024-CR,Fecha de Presentación02/06/2025,"LEY QUE DECLARA INTERÉS NACIONAL Y DE NECESIDAD PÚBLICA LA CREACIÓN DEL INSTITUTO TECNOLÓGICO DE SALCABAMBA, UBICADO EN EL DISTRITO DE SALCABAMBA, PROVINCIA DE TAYACAJA, DEPARTAMENTO DE HUANCAVELICA",Estado ProcesalPRESENTADO,ProponenteCongreso,"Cerrón Rojas, Waldemar José, Cruz Mamani, Flavio, Portalatino Ávalos, Kelly Roxana ver más..."
Proyecto de Ley 11402/2024-CR,Fecha de Presentación02/06/2025,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN, CONSTRUCCIÓN E IMPLEMENTACIÓN DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO DE COCHORCO DEPARTAMENTO DE LA LIBERTAD",Estado ProcesalPRESENTADO,ProponenteCongreso,"Cerrón Rojas, Waldemar José, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más..."
Proyecto de Ley 11401/2024-CR,Fecha de Presentación02/06/2025,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN DEL INSTITUTO SUPERIOR PÚBLICO PEDAGÓGICO, TECNOLÓGICO Y MINERO DE COTABAMBAS, UBICADO EN EL DISTRITO DE COTABAMBAS, PROVINCIA DE COTABAMBAS, DEPARTAMENTO DE APURÍMAC",Estado ProcesalPRESENTADO,ProponenteCongreso,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Agüero Gutiérrez, María Antonieta ver más..."
Proyecto de Ley 11400/2024-CR,Fecha de Presentación02/06/2025,"LEY QUE DECLARA DE INTERÉS NACIONAL EL RECONOCIMIENTO COMO PATRIMONIO CULTURAL DE LA NACIÓN A LA FESTIVIDAD DEL NIÑO JESÚS DE TOTORA OROPESA, DISTRITO DE OROPESA, PROVINCIA DE ANTABAMBA DEL DEPARTAMENTO DE APURÍMAC",Estado ProcesalPRESENTADO,ProponenteCongreso,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Portalatino Ávalos, Kelly Roxana ver más..."
Proyecto de Ley 11399/2024-CR,Fecha de Presentación02/06/2025,"LEY DE PROMOCIÓN DEL BIENESTAR EMOCIONAL, PREVENCIÓN DEL BULLYING Y ATENCIÓN DE LA SALUD MENTAL EN LAS INSTITUCIONES EDUCATIVAS PÚBLICAS Y PRIVADAS DE EDUCACIÓN BÁSICA REGULAR",Estado ProcesalPRESENTADO,ProponenteCongreso,"Gonzales Delgado, Diana Carolina, Williams Zapata, José Daniel, Amuruz Dulanto, Yessica Rosselli ver más..."
Proyecto de Ley 11398/2024-CR,Fecha de Presentación02/06/2025,"LEY QUE CREA LA FIGURA DEL DENUNCIANTE PROTEGIDO EN LOS DELITOS DE SICARIATO, EXTORSIÓN Y OTROS DELITOS COMPRENDIDOS DENTRO DEL CRIMEN ORGANIZADO",Estado ProcesalPRESENTADO,ProponenteCongreso,"Gonzales Delgado, Diana Carolina, Williams Zapata, José Daniel, Amuruz Dulanto, Yessica Rosselli ver más..."
Proyecto de Ley 11397/2024-CR,Fecha de Presentación02/06/2025,"LEY QUE FORTALECE LA TRANSPARENCIA, EL FUNCIONAMIENTO DEMOCRÁTICO Y LA INTEGRIDAD DEL SISTEMA POLÍTICO NACIONAL",Estado ProcesalPRESENTADO,ProponenteCongreso,"Pablo Medina, Flor Aidee"
Proyecto de Ley 11396/2024-CR,Fecha de Presentación02/06/2025,LEY QUE OTORGA EL TÍTULO HONORÍFICO DE “GRAN MARISCALA DEL PERU” A LA MARTIR DE LA INDEPENDENCIA MICAELA BASTIDAS PUYUCAHUA.,Estado ProcesalPRESENTADO,ProponenteCongreso,"Valer Pinto, Héctor, Azurín Loayza, Alfredo, Jerí Oré, José Enrique ver más..."
Proyecto de Ley 11395/2024-CR,Fecha de Presentación02/06/2025,LEY QUE CREA LA CAJA DE PROTECCIÓN Y ASISTENCIA DE LOS TRABAJADORES EMOLIENTEROS DEL PERÚ,Estado ProcesalPRESENTADO,ProponenteCongreso,"Herrera Medina, Noelia Rossvith, Muñante Barrios, Alejandro, Ciccia Vásquez, Miguel Ángel ver más..."
